Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1719207_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719207_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719207_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719207_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719208_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719208_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719208_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719208_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719209_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719209_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719209_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719209_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719211_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719211_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719211_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719211_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719212_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719212_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719212_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719212_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719213_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719213_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719213_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719213_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719214_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719214_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719214_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719214_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719241_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719241_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719241_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719241_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719242_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719242_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719242_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719242_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
